tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-0.225,0.307
Mx2_ep,0,1,-0.244,0.392
Mx2_ep,0,2,-0.202,0.306

Emiss,0,0,-0.322,0.398
Emiss,0,1,-0.366,0.630
Emiss,0,2,-0.541,0.699

PTmiss,0,0,0,0.083
PTmiss,0,1,0,0.193
PTmiss,0,2,0,0.133

Theta_gamma_gamma,0,0,0,1.398
Theta_gamma_gamma,0,1,0,2.417
Theta_gamma_gamma,0,2,0,1.992

DeltaPhi,0,0,0,3.575
DeltaPhi,0,1,0,10.576
DeltaPhi,0,2,0,9.713

Mx2_epg,0,0,-0.015,0.017
Mx2_epg,0,1,-0.027,0.025
Mx2_epg,0,2,-0.023,0.021

Mx2_eg,0,0,0.366,1.548
Mx2_eg,0,1,0.368,1.756
Mx2_eg,0,2,0.036,1.968
